Date,Registered_rentals,Casual_rentals,Total_rentals
2011-01-01,654,331,985
2011-01-02,670,131,801
2011-01-03,1229,120,1349
2011-01-04,1454,108,1562
2011-01-05,1518,82,1600
2011-01-06,1518,88,1606
2011-01-07,1362,148,1510
2011-01-08,891,68,959
2011-01-09,768,54,822
2011-01-10,1280,41,1321
2011-01-11,1220,43,1263
2011-01-12,1137,25,1162
2011-01-13,1368,38,1406
2011-01-14,1367,54,1421
2011-01-15,1026,222,1248
2011-01-16,953,251,1204
2011-01-17,883,117,1000
2011-01-18,674,9,683
2011-01-19,1572,78,1650
2011-01-20,1844,83,1927
2011-01-21,1468,75,1543
2011-01-22,888,93,981
2011-01-23,836,150,986
2011-01-24,1330,86,1416
2011-01-25,1799,186,1985
2011-01-26,472,34,506
2011-01-27,416,15,431
2011-01-28,1129,38,1167
2011-01-29,975,123,1098
2011-01-30,956,140,1096
2011-01-31,1459,42,1501
2011-02-01,1313,47,1360
2011-02-02,1454,72,1526
2011-02-03,1489,61,1550
2011-02-04,1620,88,1708
2011-02-05,905,100,1005
2011-02-06,1269,354,1623
2011-02-07,1592,120,1712
2011-02-08,1466,64,1530
2011-02-09,1552,53,1605
2011-02-10,1491,47,1538
2011-02-11,1597,149,1746
2011-02-12,1184,288,1472
2011-02-13,1192,397,1589
2011-02-14,1705,208,1913
2011-02-15,1675,140,1815
2011-02-16,1897,218,2115
2011-02-17,2216,259,2475
2011-02-18,2348,579,2927
2011-02-19,1103,532,1635
2011-02-20,1173,639,1812
2011-02-21,912,195,1107
2011-02-22,1376,74,1450
2011-02-23,1778,139,1917
2011-02-24,1707,100,1807
2011-02-25,1341,120,1461
2011-02-26,1545,424,1969
2011-02-27,1708,694,2402
2011-02-28,1365,81,1446
2011-03-01,1714,137,1851
2011-03-02,1903,231,2134
2011-03-03,1562,123,1685
2011-03-04,1730,214,1944
2011-03-05,1437,640,2077
2011-03-06,491,114,605
2011-03-07,1628,244,1872
2011-03-08,1817,316,2133
2011-03-09,1700,191,1891
2011-03-10,577,46,623
2011-03-11,1730,247,1977
2011-03-12,1408,724,2132
2011-03-13,1435,982,2417
2011-03-14,1687,359,2046
2011-03-15,1767,289,2056
2011-03-16,1871,321,2192
2011-03-17,2320,424,2744
2011-03-18,2355,884,3239
2011-03-19,1693,1424,3117
2011-03-20,1424,1047,2471
2011-03-21,1676,401,2077
2011-03-22,2243,460,2703
2011-03-23,1918,203,2121
2011-03-24,1699,166,1865
2011-03-25,1910,300,2210
2011-03-26,1515,981,2496
2011-03-27,1221,472,1693
2011-03-28,1806,222,2028
2011-03-29,2108,317,2425
2011-03-30,1368,168,1536
2011-03-31,1506,179,1685
2011-04-01,1920,307,2227
2011-04-02,1354,898,2252
2011-04-03,1598,1651,3249
2011-04-04,2381,734,3115
2011-04-05,1628,167,1795
2011-04-06,2395,413,2808
2011-04-07,2570,571,3141
2011-04-08,1299,172,1471
2011-04-09,1576,879,2455
2011-04-10,1707,1188,2895
2011-04-11,2493,855,3348
2011-04-12,1777,257,2034
2011-04-13,1953,209,2162
2011-04-14,2738,529,3267
2011-04-15,2484,642,3126
2011-04-16,674,121,795
2011-04-17,2186,1558,3744
2011-04-18,2760,669,3429
2011-04-19,2795,409,3204
2011-04-20,3331,613,3944
2011-04-21,3444,745,4189
2011-04-22,1506,177,1683
2011-04-23,2574,1462,4036
2011-04-24,2481,1710,4191
2011-04-25,3300,773,4073
2011-04-26,3722,678,4400
2011-04-27,3325,547,3872
2011-04-28,3489,569,4058
2011-04-29,3717,878,4595
2011-04-30,3347,1965,5312
2011-05-01,2213,1138,3351
2011-05-02,3554,847,4401
2011-05-03,3848,603,4451
2011-05-04,2378,255,2633
2011-05-05,3819,614,4433
2011-05-06,3714,894,4608
2011-05-07,3102,1612,4714
2011-05-08,2932,1401,4333
2011-05-09,3698,664,4362
2011-05-10,4109,694,4803
2011-05-11,3632,550,4182
