,dteday,season,yr,mnth,holiday,weekday,workingday
0,2011-01-01,1,0,1,0,6,0
24,2011-01-02,1,0,1,0,0,0
47,2011-01-03,1,0,1,0,1,1
69,2011-01-04,1,0,1,0,2,1
92,2011-01-05,1,0,1,0,3,1
115,2011-01-06,1,0,1,0,4,1
138,2011-01-07,1,0,1,0,5,1
161,2011-01-08,1,0,1,0,6,0
185,2011-01-09,1,0,1,0,0,0
209,2011-01-10,1,0,1,0,1,1
233,2011-01-11,1,0,1,0,2,1
255,2011-01-12,1,0,1,0,3,1
277,2011-01-13,1,0,1,0,4,1
301,2011-01-14,1,0,1,0,5,1
324,2011-01-15,1,0,1,0,6,0
348,2011-01-16,1,0,1,0,0,0
372,2011-01-17,1,0,1,1,1,0
396,2011-01-18,1,0,1,0,2,1
408,2011-01-19,1,0,1,0,3,1
431,2011-01-20,1,0,1,0,4,1
455,2011-01-21,1,0,1,0,5,1
479,2011-01-22,1,0,1,0,6,0
502,2011-01-23,1,0,1,0,0,0
525,2011-01-24,1,0,1,0,1,1
548,2011-01-25,1,0,1,0,2,1
571,2011-01-26,1,0,1,0,3,1
587,2011-01-27,1,0,1,0,4,1
595,2011-01-28,1,0,1,0,5,1
618,2011-01-29,1,0,1,0,6,0
641,2011-01-30,1,0,1,0,0,0
664,2011-01-31,1,0,1,0,1,1
688,2011-02-01,1,0,2,0,2,1
711,2011-02-02,1,0,2,0,3,1
735,2011-02-03,1,0,2,0,4,1
758,2011-02-04,1,0,2,0,5,1
781,2011-02-05,1,0,2,0,6,0
805,2011-02-06,1,0,2,0,0,0
829,2011-02-07,1,0,2,0,1,1
853,2011-02-08,1,0,2,0,2,1
877,2011-02-09,1,0,2,0,3,1
900,2011-02-10,1,0,2,0,4,1
923,2011-02-11,1,0,2,0,5,1
945,2011-02-12,1,0,2,0,6,0
969,2011-02-13,1,0,2,0,0,0
992,2011-02-14,1,0,2,0,1,1
1016,2011-02-15,1,0,2,0,2,1
1039,2011-02-16,1,0,2,0,3,1
1062,2011-02-17,1,0,2,0,4,1
1086,2011-02-18,1,0,2,0,5,1
1110,2011-02-19,1,0,2,0,6,0
1134,2011-02-20,1,0,2,0,0,0
1157,2011-02-21,1,0,2,1,1,0
1181,2011-02-22,1,0,2,0,2,1
1199,2011-02-23,1,0,2,0,3,1
1222,2011-02-24,1,0,2,0,4,1
1245,2011-02-25,1,0,2,0,5,1
1268,2011-02-26,1,0,2,0,6,0
1292,2011-02-27,1,0,2,0,0,0
1315,2011-02-28,1,0,2,0,1,1
1337,2011-03-01,1,0,3,0,2,1
1361,2011-03-02,1,0,3,0,3,1
1385,2011-03-03,1,0,3,0,4,1
1409,2011-03-04,1,0,3,0,5,1
1433,2011-03-05,1,0,3,0,6,0
1457,2011-03-06,1,0,3,0,0,0
1480,2011-03-07,1,0,3,0,1,1
1503,2011-03-08,1,0,3,0,2,1
1527,2011-03-09,1,0,3,0,3,1
1551,2011-03-10,1,0,3,0,4,1
1573,2011-03-11,1,0,3,0,5,1
1596,2011-03-12,1,0,3,0,6,0
1620,2011-03-13,1,0,3,0,0,0
1643,2011-03-14,1,0,3,0,1,1
1666,2011-03-15,1,0,3,0,2,1
1689,2011-03-16,1,0,3,0,3,1
1712,2011-03-17,1,0,3,0,4,1
1736,2011-03-18,1,0,3,0,5,1
1759,2011-03-19,1,0,3,0,6,0
1783,2011-03-20,1,0,3,0,0,0
1807,2011-03-21,2,0,3,0,1,1
1830,2011-03-22,2,0,3,0,2,1
1854,2011-03-23,2,0,3,0,3,1
1877,2011-03-24,2,0,3,0,4,1
1901,2011-03-25,2,0,3,0,5,1
1925,2011-03-26,2,0,3,0,6,0
1949,2011-03-27,2,0,3,0,0,0
1972,2011-03-28,2,0,3,0,1,1
1995,2011-03-29,2,0,3,0,2,1
2019,2011-03-30,2,0,3,0,3,1
2043,2011-03-31,2,0,3,0,4,1
2067,2011-04-01,2,0,4,0,5,1
2091,2011-04-02,2,0,4,0,6,0
2115,2011-04-03,2,0,4,0,0,0
2139,2011-04-04,2,0,4,0,1,1
2163,2011-04-05,2,0,4,0,2,1
2187,2011-04-06,2,0,4,0,3,1
2211,2011-04-07,2,0,4,0,4,1
2235,2011-04-08,2,0,4,0,5,1
2259,2011-04-09,2,0,4,0,6,0
2283,2011-04-10,2,0,4,0,0,0
2307,2011-04-11,2,0,4,0,1,1
2330,2011-04-12,2,0,4,0,2,1
2354,2011-04-13,2,0,4,0,3,1
2378,2011-04-14,2,0,4,0,4,1
2402,2011-04-15,2,0,4,1,5,0
2426,2011-04-16,2,0,4,0,6,0
2450,2011-04-17,2,0,4,0,0,0
2474,2011-04-18,2,0,4,0,1,1
2498,2011-04-19,2,0,4,0,2,1
2522,2011-04-20,2,0,4,0,3,1
2546,2011-04-21,2,0,4,0,4,1
2570,2011-04-22,2,0,4,0,5,1
