,hr,casual,registered,cnt
0,0,3,13,16
1,1,8,32,40
2,2,5,27,32
3,3,3,10,13
4,4,0,1,1
5,5,0,1,1
6,6,2,0,2
7,7,1,2,3
8,8,1,7,8
9,9,8,6,14
10,10,12,24,36
11,11,26,30,56
12,12,29,55,84
13,13,47,47,94
14,14,35,71,106
15,15,40,70,110
16,16,41,52,93
17,17,15,52,67
18,18,9,26,35
19,19,6,31,37
20,20,11,25,36
21,21,3,31,34
22,22,11,17,28
23,23,15,24,39
24,0,4,13,17
25,1,1,16,17
26,2,1,8,9
27,3,2,4,6
28,4,2,1,3
29,6,0,2,2
30,7,0,1,1
31,8,0,8,8
32,9,1,19,20
33,10,7,46,53
34,11,16,54,70
35,12,20,73,93
36,13,11,64,75
37,14,4,55,59
38,15,19,55,74
39,16,9,67,76
40,17,7,58,65
41,18,10,43,53
42,19,1,29,30
43,20,5,17,22
44,21,11,20,31
45,22,0,9,9
46,23,0,8,8
47,0,0,5,5
48,1,0,2,2
49,4,0,1,1
50,5,0,3,3
51,6,0,30,30
52,7,1,63,64
53,8,1,153,154
54,9,7,81,88
55,10,11,33,44
56,11,10,41,51
57,12,13,48,61
58,13,8,53,61
59,14,11,66,77
60,15,14,58,72
61,16,9,67,76
62,17,11,146,157
63,18,9,148,157
64,19,8,102,110
65,20,3,49,52
66,21,3,49,52
67,22,0,20,20
68,23,1,11,12
69,0,0,5,5
70,1,0,2,2
71,2,0,1,1
72,4,0,2,2
73,5,0,4,4
74,6,0,36,36
75,7,2,92,94
76,8,2,177,179
77,9,2,98,100
78,10,5,37,42
79,11,7,50,57
80,12,12,66,78
81,13,18,79,97
82,14,9,54,63
83,15,17,48,65
84,16,15,68,83
85,17,10,202,212
86,18,3,179,182
87,19,2,110,112
88,20,1,53,54
89,21,0,48,48
90,22,1,34,35
91,23,2,9,11
92,0,0,6,6
93,1,0,6,6
94,2,0,2,2
95,4,0,2,2
96,5,0,3,3
97,6,0,33,33
98,7,1,87,88
99,8,3,192,195
100,9,6,109,115
101,10,4,53,57
102,11,12,34,46
103,12,5,74,79
104,13,6,65,71
105,14,10,52,62
106,15,7,55,62
107,16,4,85,89
108,17,4,186,190
109,18,3,166,169
110,19,5,127,132
111,20,7,82,89
112,21,3,40,43
113,22,1,41,42
114,23,1,18,19
115,0,0,11,11
116,1,0,4,4
117,2,0,2,2
118,4,0,1,1
119,5,0,4,4
120,6,0,36,36
121,7,0,95,95
122,8,3,216,219
123,9,6,116,122
124,10,3,42,45
125,11,2,57,59
126,12,6,78,84
127,13,12,55,67
128,14,11,59,70
129,15,8,54,62
130,16,12,74,86
131,17,9,163,172
132,18,5,158,163
133,19,3,109,112
134,20,3,66,69
135,21,0,48,48
136,22,1,51,52
137,23,4,19,23
138,0,4,13,17
139,1,2,5,7
140,2,0,1,1
141,4,0,1,1
142,5,0,5,5
143,6,8,26,34
