,weathersit,temp,atemp,hum,windspeed
0,1,0.24,0.2879,0.81,0.0
1,1,0.22,0.2727,0.8,0.0
2,1,0.22,0.2727,0.8,0.0
3,1,0.24,0.2879,0.75,0.0
4,1,0.24,0.2879,0.75,0.0
5,2,0.24,0.2576,0.75,0.0896
6,1,0.22,0.2727,0.8,0.0
7,1,0.2,0.2576,0.86,0.0
8,1,0.24,0.2879,0.75,0.0
9,1,0.32,0.3485,0.76,0.0
10,1,0.38,0.3939,0.76,0.2537
11,1,0.36,0.3333,0.81,0.2836
12,1,0.42,0.4242,0.77,0.2836
13,2,0.46,0.4545,0.72,0.2985
14,2,0.46,0.4545,0.72,0.2836
15,2,0.44,0.4394,0.77,0.2985
16,2,0.42,0.4242,0.82,0.2985
17,2,0.44,0.4394,0.82,0.2836
18,3,0.42,0.4242,0.88,0.2537
19,3,0.42,0.4242,0.88,0.2537
20,2,0.4,0.4091,0.87,0.2537
21,2,0.4,0.4091,0.87,0.194
22,2,0.4,0.4091,0.94,0.2239
23,2,0.46,0.4545,0.88,0.2985
24,2,0.46,0.4545,0.88,0.2985
25,2,0.44,0.4394,0.94,0.2537
26,2,0.42,0.4242,1.0,0.2836
27,2,0.46,0.4545,0.94,0.194
28,2,0.46,0.4545,0.94,0.194
29,3,0.42,0.4242,0.77,0.2985
30,2,0.4,0.4091,0.76,0.194
31,3,0.4,0.4091,0.71,0.2239
32,2,0.38,0.3939,0.76,0.2239
33,2,0.36,0.3485,0.81,0.2239
34,2,0.36,0.3333,0.71,0.2537
35,2,0.36,0.3333,0.66,0.2985
36,2,0.36,0.3485,0.66,0.1343
37,3,0.36,0.3485,0.76,0.194
38,3,0.34,0.3333,0.81,0.1642
39,3,0.34,0.3333,0.71,0.1642
40,1,0.34,0.3333,0.57,0.194
41,2,0.36,0.3333,0.46,0.3284
42,1,0.32,0.2879,0.42,0.4478
43,1,0.3,0.2727,0.39,0.3582
44,1,0.26,0.2273,0.44,0.3284
45,1,0.24,0.2121,0.44,0.2985
46,1,0.22,0.2273,0.47,0.1642
47,1,0.22,0.197,0.44,0.3582
48,1,0.2,0.1667,0.44,0.4179
49,1,0.16,0.1364,0.47,0.3881
50,1,0.16,0.1364,0.47,0.2836
51,1,0.14,0.1061,0.5,0.3881
52,1,0.14,0.1364,0.5,0.194
53,1,0.14,0.1212,0.5,0.2836
54,1,0.16,0.1364,0.43,0.3881
55,1,0.18,0.1667,0.43,0.2537
56,1,0.2,0.1818,0.4,0.3284
57,1,0.22,0.2121,0.35,0.2985
58,1,0.24,0.2121,0.35,0.2836
59,1,0.26,0.2424,0.3,0.2836
60,1,0.26,0.2424,0.3,0.2537
61,1,0.26,0.2424,0.3,0.2537
62,1,0.24,0.2273,0.3,0.2239
63,1,0.24,0.2576,0.32,0.1045
64,1,0.2,0.2576,0.47,0.0
65,1,0.2,0.2273,0.47,0.1045
66,1,0.18,0.197,0.64,0.1343
67,1,0.14,0.1515,0.69,0.1343
68,1,0.18,0.2121,0.55,0.1045
69,1,0.16,0.1818,0.55,0.1045
70,1,0.16,0.1818,0.59,0.1045
71,1,0.14,0.1515,0.63,0.1343
72,1,0.14,0.1818,0.63,0.0896
73,1,0.12,0.1515,0.68,0.1045
74,1,0.12,0.1515,0.74,0.1045
75,1,0.12,0.1515,0.74,0.1343
76,1,0.14,0.1515,0.69,0.1642
77,1,0.16,0.1515,0.64,0.2239
78,2,0.16,0.1364,0.69,0.3284
79,1,0.22,0.2121,0.51,0.2985
80,1,0.22,0.2273,0.51,0.1642
81,1,0.24,0.2273,0.56,0.194
82,1,0.26,0.2576,0.52,0.2239
83,1,0.28,0.2727,0.52,0.2537
84,1,0.3,0.2879,0.49,0.2537
85,1,0.28,0.2727,0.48,0.2239
