record_id,date,hr,Cum_sum_registered,Cum_sum_cusual
1,2011-01-01,0,13,3
2,2011-01-01,1,45,11
3,2011-01-01,2,72,16
4,2011-01-01,3,82,19
5,2011-01-01,4,83,19
6,2011-01-01,5,84,19
7,2011-01-01,6,84,21
8,2011-01-01,7,86,22
9,2011-01-01,8,93,23
10,2011-01-01,9,99,31
11,2011-01-01,10,123,43
12,2011-01-01,11,153,69
13,2011-01-01,12,208,98
14,2011-01-01,13,255,145
15,2011-01-01,14,326,180
16,2011-01-01,15,396,220
17,2011-01-01,16,448,261
18,2011-01-01,17,500,276
19,2011-01-01,18,526,285
20,2011-01-01,19,557,291
21,2011-01-01,20,582,302
22,2011-01-01,21,613,305
23,2011-01-01,22,630,316
24,2011-01-01,23,654,331
25,2011-01-02,0,667,335
26,2011-01-02,1,683,336
27,2011-01-02,2,691,337
28,2011-01-02,3,695,339
29,2011-01-02,4,696,341
30,2011-01-02,6,698,341
31,2011-01-02,7,699,341
32,2011-01-02,8,707,341
33,2011-01-02,9,726,342
34,2011-01-02,10,772,349
35,2011-01-02,11,826,365
36,2011-01-02,12,899,385
37,2011-01-02,13,963,396
38,2011-01-02,14,1018,400
39,2011-01-02,15,1073,419
40,2011-01-02,16,1140,428
41,2011-01-02,17,1198,435
42,2011-01-02,18,1241,445
43,2011-01-02,19,1270,446
44,2011-01-02,20,1287,451
45,2011-01-02,21,1307,462
46,2011-01-02,22,1316,462
47,2011-01-02,23,1324,462
48,2011-01-03,0,1329,462
49,2011-01-03,1,1331,462
50,2011-01-03,4,1332,462
51,2011-01-03,5,1335,462
52,2011-01-03,6,1365,462
53,2011-01-03,7,1428,463
54,2011-01-03,8,1581,464
55,2011-01-03,9,1662,471
56,2011-01-03,10,1695,482
57,2011-01-03,11,1736,492
58,2011-01-03,12,1784,505
59,2011-01-03,13,1837,513
60,2011-01-03,14,1903,524
61,2011-01-03,15,1961,538
62,2011-01-03,16,2028,547
63,2011-01-03,17,2174,558
64,2011-01-03,18,2322,567
65,2011-01-03,19,2424,575
66,2011-01-03,20,2473,578
67,2011-01-03,21,2522,581
68,2011-01-03,22,2542,581
69,2011-01-03,23,2553,582
70,2011-01-04,0,2558,582
71,2011-01-04,1,2560,582
72,2011-01-04,2,2561,582
